family,base_families,stage_count,visible_count,missing_count,coupled_stage_count,island_stage_count,max_coupled_degree,avg_vector_drift,max_vector_drift,inner_spacetime_state,inner_spacetime_reading,passive_only,controlled_dataset_scope,long_run_claim,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_0oic,dio_10qz|dio_114i,5,2,3,0,2,0,0.000147321,0.000147321,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0om4,dio_10qz|dio_114i,5,1,4,0,1,0,0.0,0.0,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0omt,dio_10qz|dio_114i,5,3,2,0,3,0,0.000634422,0.00100318,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0p12,dio_10qz|dio_114i,5,5,0,0,5,0,0.004505214,0.008420582,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0p7h,dio_10qz|dio_114i,5,1,4,0,1,0,0.0,0.0,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0p8l,dio_10qz|dio_114i,5,5,0,0,5,0,0.00121944,0.003459257,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0pbq,dio_10qz|dio_114i,5,4,1,0,4,0,0.001298445,0.001908118,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0pni,dio_10qz|dio_114i,5,5,0,0,5,0,0.001292367,0.002550713,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0py2,dio_10qz|dio_114i,5,5,0,0,5,0,0.000617656,0.001150616,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0q3d,dio_10qz|dio_114i,5,3,2,0,3,0,0.000574197,0.00087399,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0q3v,dio_10qz|dio_114i,5,5,0,0,5,0,0.000870088,0.001863643,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
