text_island_symbol,inner_map_transition_state,left_inner_map_state,right_inner_map_state,left_semantic_maturity_score,right_semantic_maturity_score,score_delta,stability_delta,variation_delta,drift_delta,left_families,right_families,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_text_1ifulzx,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.326666667,0.326666667,0.0,0.0,0.0,0.0,dio_1wkv,dio_1wkv,True,False,False,False,False,False,False,False
dio_text_1ihveqe,inner_state_strengthened,inner_unconfirmed_raw_space,inner_soft_variation_space,0.22,0.480764133,0.260764133,0.1054347,0.404305653,0.0,dio_098w|dio_0avw|dio_1q3e,dio_05c5|dio_098w|dio_0avw,True,False,False,False,False,False,False,False
dio_text_1irandc,stable_variation_bearing,inner_variation_bearing_space,inner_variation_bearing_space,0.672872,0.672872,0.0,0.0,0.0,0.0,dio_0utu|dio_11w1|dio_14t4|dio_1534,dio_0utu|dio_11w1|dio_14t4|dio_1534,True,False,False,False,False,False,False,False
dio_text_1iwm9qb,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.38,0.38,0.0,0.0,0.0,0.0,dio_06z8|dio_0b1j|dio_0tyz|dio_0yqx|dio_15y3|dio_16i3|dio_18vh|dio_19fi|dio_1lj9,dio_06z8|dio_0b1j|dio_0tyz|dio_0yqx|dio_15y3|dio_16i3|dio_18vh|dio_19fi|dio_1lj9,True,False,False,False,False,False,False,False
dio_text_1j78afq,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.366666667,0.366666667,0.0,0.0,0.0,0.0,dio_16ss|dio_1eey|dio_1nt1|dio_1o1w|dio_1pn5|dio_1q11|dio_1y5n,dio_16ss|dio_1eey|dio_1nt1|dio_1o1w|dio_1pn5|dio_1q11|dio_1y5n,True,False,False,False,False,False,False,False
dio_text_1j80ia3,stable_same_inner_state,inner_soft_variation_space,inner_soft_variation_space,0.410046667,0.566713333,0.156666666,0.1125,0.162666666,0.0,dio_0gmg|dio_0juh|dio_0t27|dio_0ux8|dio_0we7,dio_0gmg|dio_0juh|dio_0t27|dio_0ux8|dio_0we7|dio_1378,True,False,False,False,False,False,False,False
dio_text_1jl2i83,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.326666667,0.326666667,0.0,0.0,0.0,0.0,dio_18u1,dio_18u1,True,False,False,False,False,False,False,False
dio_text_1k1vuxi,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.326666667,0.326666667,0.0,0.0,0.0,0.0,dio_0dfx,dio_0dfx,True,False,False,False,False,False,False,False
dio_text_1kaafa0,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.326666667,0.326666667,0.0,0.0,0.0,0.0,dio_0vma,dio_0vma,True,False,False,False,False,False,False,False
dio_text_1kzmyt,stable_foreign_boundary,inner_foreign_boundary_space,inner_foreign_boundary_space,0.4,0.4,0.0,0.0,0.0,0.0,dio_04is|dio_0e6t|dio_0pcm|dio_0rar|dio_0xwj|dio_0zn1|dio_14k8|dio_1etx|dio_1mhr|dio_1sbp|dio_1t4c|dio_1tfr|dio_1u20,dio_04is|dio_0e6t|dio_0pcm|dio_0rar|dio_0xwj|dio_0zn1|dio_14k8|dio_1etx|dio_1mhr|dio_1sbp|dio_1t4c|dio_1tfr|dio_1u20,True,False,False,False,False,False,False,False
dio_text_1l453hl,new_in_right_inner_map,,inner_unconfirmed_raw_space,0.0,0.24,0.24,0.55,0.096,0.0,,dio_005q|dio_00fq|dio_05k3|dio_0vu0|dio_1del|dio_1dok,True,False,False,False,False,False,False,False
