stage_index,stage_label,family,visible,attached_base_families,coupled_degree,island_count,vector_drift_from_previous_visible,episode_count,dominant_neuro_tone,dominant_temporal_state,passive_only,controlled_dataset_scope,long_run_claim,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
1,M,dio_09ed,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_09ed,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
3,O,dio_09ed,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
0,L,dio_09fk,True,-,0,1,0.0,2,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_09fk,True,-,0,1,0.000832403,2,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_09fk,True,-,0,1,0.010421562,4,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_09fk,True,-,0,1,8.5821e-05,4,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_09od,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
1,M,dio_09od,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
2,N,dio_09od,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_09od,True,-,0,1,1.4004e-05,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_09ow,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_09ow,True,-,0,1,0.002148993,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_09ow,True,-,0,1,0.001072228,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_09ow,True,-,0,1,0.032538962,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_09tm,True,-,0,1,0.0,4,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_09tm,True,-,0,1,0.012016751,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_09tm,True,-,0,1,0.000364635,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_09tm,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
0,L,dio_09u3,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_09u3,True,-,0,1,0.000422773,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_09u3,True,-,0,1,0.001667979,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_09u3,True,-,0,1,0.00090632,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_09zn,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
1,M,dio_09zn,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
2,N,dio_09zn,True,-,0,1,0.0,3,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_09zn,True,-,0,1,9.9045e-05,3,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_0a08,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_0a08,True,-,0,1,0.002781,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_0a08,True,-,0,1,0.002299285,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_0a08,True,-,0,1,0.00228901,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_0a9m,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
1,M,dio_0a9m,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
2,N,dio_0a9m,True,-,0,1,0.0,1,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_0a9m,True,-,0,1,9.8728e-05,1,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_0azl,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_0azl,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
2,N,dio_0azl,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
3,O,dio_0azl,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
0,L,dio_0blx,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_0blx,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
2,N,dio_0blx,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
3,O,dio_0blx,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
0,L,dio_0bm2,True,-,0,1,0.0,6,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_0bm2,True,-,0,1,0.001993476,6,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_0bm2,True,-,0,1,0.0011852,6,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_0bm2,True,-,0,1,0.000502658,6,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_0bno,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
